component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
dropped646	Edge	93.3394178757	0.0002699475	0.7835532555	False
dropped647	Edge	93.2581450701	0.0002694776	0.7838227331	False
dropped648	Edge	93.2236513035	0.0002692783	0.7840920115	False
dropped649	Edge	93.1826818588	0.0002690417	0.7843610531	False
dropped650	Edge	93.1121132374	0.0002686343	0.7846296875	False
dropped651	Edge	93.0477970041	0.0002682634	0.7848979508	False
dropped652	Edge	93.0426149157	0.0002682335	0.7851661843	False
dropped653	Edge	93.0073849137	0.0002680304	0.7854342147	False
dropped654	Edge	92.9834844139	0.0002678926	0.7857021073	False
dropped655	Edge	92.9610996816	0.0002677637	0.7859698710	False
dropped656	Edge	92.9133732471	0.0002674888	0.7862373598	False
dropped657	Edge	92.8882714188	0.0002673443	0.7865047041	False
dropped658	Edge	92.8733879052	0.0002672586	0.7867719627	False
dropped659	Edge	92.8272019486	0.0002669929	0.7870389556	False
dropped660	Edge	92.7887817823	0.0002667719	0.7873057275	False
dropped661	Edge	92.7607705278	0.0002666109	0.7875723384	False
dropped662	Edge	92.7203590327	0.0002663786	0.7878387170	False
dropped663	Edge	92.7092128867	0.0002663146	0.7881050316	False
dropped664	Edge	92.6900221406	0.0002662043	0.7883712359	False
dropped665	Edge	92.6363933955	0.0002658964	0.7886371323	False
dropped666	Edge	92.6045248282	0.0002657135	0.7889028458	False
dropped667	Edge	92.5327870505	0.0002653020	0.7891681477	False
dropped668	Edge	92.4932938096	0.0002650755	0.7894332233	False
