component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
dropped138	CSF	34.4719317631	0.0015195832	0.8288819387	False
dropped139	CSF	34.3196529957	0.0015061874	0.8303881261	False
dropped140	CSF	34.2375035276	0.0014989855	0.8318871116	False
dropped141	CSF	34.2251338763	0.0014979025	0.8333850141	False
dropped142	CSF	34.0870865094	0.0014858433	0.8348708574	False
dropped143	CSF	33.8319141052	0.0014636808	0.8363345383	False
dropped144	CSF	33.7343817528	0.0014552539	0.8377897921	False
dropped145	CSF	33.6702160489	0.0014497231	0.8392395152	False
dropped146	CSF	33.6020275720	0.0014438571	0.8406833723	False
dropped147	CSF	33.5534601140	0.0014396863	0.8421230586	False
dropped148	CSF	33.4535245934	0.0014311232	0.8435541818	False
dropped149	CSF	33.4076447429	0.0014272004	0.8449813822	False
dropped150	CSF	33.3397010546	0.0014214011	0.8464027833	False
dropped151	CSF	33.1517700942	0.0014054218	0.8478082051	False
dropped152	CSF	33.0308609101	0.0013951890	0.8492033941	False
dropped153	CSF	32.9547721100	0.0013887685	0.8505921626	False
dropped154	CSF	32.8011736383	0.0013758529	0.8519680155	False
dropped155	CSF	32.7212439539	0.0013691558	0.8533371713	False
dropped156	CSF	32.6636261227	0.0013643382	0.8547015095	False
dropped157	CSF	32.4278717164	0.0013447147	0.8560462242	False
dropped158	CSF	32.3328636408	0.0013368466	0.8573830708	False
dropped159	CSF	32.2637574945	0.0013311382	0.8587142090	False
dropped160	CSF	32.2157316510	0.0013271782	0.8600413872	False
dropped161	CSF	32.1151818153	0.0013189065	0.8613602937	False
dropped162	CSF	32.0452218616	0.0013131666	0.8626734603	False
dropped163	CSF	32.0095643021	0.0013102458	0.8639837061	False
dropped164	CSF	31.8985691707	0.0013011748	0.8652848809	False
dropped165	CSF	31.8105306699	0.0012940024	0.8665788833	False
dropped166	CSF	31.6684661092	0.0012824703	0.8678613535	False
dropped167	CSF	31.6598784326	0.0012817748	0.8691431283	False
dropped168	CSF	31.5880682013	0.0012759668	0.8704190952	False
dropped169	CSF	31.5208506746	0.0012705422	0.8716896374	False
dropped170	CSF	31.3581950823	0.0012574634	0.8729471008	False
dropped171	CSF	31.3112292856	0.0012536996	0.8742008004	False
dropped172	CSF	31.2403235259	0.0012480279	0.8754488283	False
dropped173	CSF	31.0664197752	0.0012341719	0.8766830002	False
dropped174	CSF	30.9839832175	0.0012276307	0.8779106309	False
dropped175	CSF	30.9508513735	0.0012250067	0.8791356376	False
dropped176	CSF	30.8641965506	0.0012181568	0.8803537944	False
dropped177	CSF	30.7926983208	0.0012125195	0.8815663139	False
dropped178	CSF	30.6862372779	0.0012041498	0.8827704637	False
dropped179	CSF	30.6094287308	0.0011981293	0.8839685931	False
dropped180	CSF	30.5409144502	0.0011927717	0.8851613647	False
dropped181	CSF	30.3580710601	0.0011785326	0.8863398973	False
dropped182	CSF	30.2796510821	0.0011724518	0.8875123491	False
dropped183	CSF	30.2620358471	0.0011710880	0.8886834371	False
dropped184	CSF	30.1202731693	0.0011601418	0.8898435788	False
dropped185	CSF	30.0837093400	0.0011573268	0.8910009056	False
dropped186	CSF	29.9580715016	0.0011476804	0.8921485860	False
dropped187	CSF	29.8400532942	0.0011386557	0.8932872417	False
dropped188	CSF	29.8265448180	0.0011376250	0.8944248668	False
dropped189	CSF	29.7443454871	0.0011313633	0.8955562301	False
dropped190	CSF	29.5728302111	0.0011183533	0.8966745834	False
dropped191	CSF	29.5333115410	0.0011153664	0.8977899497	False
dropped192	CSF	29.3709159967	0.0011031339	0.8988930836	False
dropped193	CSF	29.3306874368	0.0011001141	0.8999931977	False
