component	mask	singular_value	variance_explained	cumulative_variance_explained	retained
dropped975	0	5.6791239729	0.0000138849	0.9986896437	False
dropped976	0	5.6468529414	0.0000137276	0.9987033713	False
dropped977	0	5.6352089804	0.0000136710	0.9987170423	False
dropped978	0	5.6069744249	0.0000135344	0.9987305767	False
dropped979	0	5.5706905069	0.0000133598	0.9987439365	False
dropped980	0	5.5604102616	0.0000133105	0.9987572470	False
dropped981	0	5.5403306348	0.0000132146	0.9987704615	False
dropped982	0	5.5341368935	0.0000131850	0.9987836465	False
dropped983	0	5.5093451484	0.0000130672	0.9987967137	False
dropped984	0	5.4752162093	0.0000129058	0.9988096195	False
dropped985	0	5.4634287976	0.0000128503	0.9988224697	False
dropped986	0	5.4441758243	0.0000127598	0.9988352296	False
dropped987	0	5.4395801687	0.0000127383	0.9988479679	False
dropped988	0	5.4155885631	0.0000126262	0.9988605941	False
dropped989	0	5.4006004120	0.0000125564	0.9988731505	False
dropped990	0	5.3863076560	0.0000124900	0.9988856405	False
dropped991	0	5.3756643074	0.0000124407	0.9988980812	False
dropped992	0	5.3578919515	0.0000123586	0.9989104398	False
dropped993	0	5.3549287623	0.0000123449	0.9989227847	False
dropped994	0	5.3476321018	0.0000123113	0.9989350960	False
dropped995	0	5.3299077808	0.0000122298	0.9989473259	False
dropped996	0	5.3089937978	0.0000121340	0.9989594599	False
dropped997	0	5.2956596592	0.0000120732	0.9989715331	False
dropped998	0	5.2683889286	0.0000119491	0.9989834822	False
dropped999	0	5.2556858232	0.0000118916	0.9989953738	False
dropped1000	0	5.2450403760	0.0000118435	0.9990072173	False
dropped1001	0	5.2148020950	0.0000117073	0.9990189246	False
dropped1002	0	5.1982743129	0.0000116332	0.9990305578	False
dropped1003	0	5.1937420210	0.0000116129	0.9990421707	False
dropped1004	0	5.1797570600	0.0000115505	0.9990537212	False
dropped1005	0	5.1372739315	0.0000113618	0.9990650830	False
dropped1006	0	5.1249336711	0.0000113073	0.9990763902	False
dropped1007	0	5.1176886444	0.0000112753	0.9990876655	False
dropped1008	0	5.1002813821	0.0000111987	0.9990988643	False
dropped1009	0	5.0768373137	0.0000110960	0.9991099603	False
dropped1010	0	5.0723600063	0.0000110765	0.9991210368	False
dropped1011	0	5.0667815814	0.0000110521	0.9991320889	False
dropped1012	0	5.0191563836	0.0000108453	0.9991429342	False
dropped1013	0	4.9944116868	0.0000107387	0.9991536729	False
dropped1014	0	4.9727513218	0.0000106457	0.9991643186	False
dropped1015	0	4.9615988421	0.0000105980	0.9991749166	False
dropped1016	0	4.9479180581	0.0000105396	0.9991854562	False
dropped1017	0	4.9401171415	0.0000105064	0.9991959627	False
dropped1018	0	4.9235388110	0.0000104360	0.9992063987	False
dropped1019	0	4.9041784524	0.0000103541	0.9992167529	False
dropped1020	0	4.8860215963	0.0000102776	0.9992270305	False
dropped1021	0	4.8565477195	0.0000101540	0.9992371844	False
dropped1022	0	4.8422254113	0.0000100942	0.9992472786	False
dropped1023	0	4.8286449164	0.0000100376	0.9992573163	False
dropped1024	0	4.8144873894	0.0000099789	0.9992672951	False
dropped1025	0	4.8097214091	0.0000099591	0.9992772542	False
dropped1026	0	4.7879707679	0.0000098692	0.9992871235	False
dropped1027	0	4.7595548815	0.0000097525	0.9992968759	False
dropped1028	0	4.7459990967	0.0000096970	0.9993065729	False
dropped1029	0	4.7403859021	0.0000096741	0.9993162470	False
dropped1030	0	4.6965801842	0.0000094961	0.9993257431	False
dropped1031	0	4.6877828266	0.0000094605	0.9993352036	False
dropped1032	0	4.6742056399	0.0000094058	0.9993446094	False
dropped1033	0	4.6658451881	0.0000093722	0.9993539816	False
dropped1034	0	4.6240006563	0.0000092049	0.9993631865	False
dropped1035	0	4.6188963734	0.0000091845	0.9993723710	False
dropped1036	0	4.5912550620	0.0000090749	0.9993814460	False
dropped1037	0	4.5617171170	0.0000089586	0.9993904045	False
dropped1038	0	4.5556813566	0.0000089349	0.9993993394	False
dropped1039	0	4.5495673370	0.0000089109	0.9994082503	False
dropped1040	0	4.5189065696	0.0000087912	0.9994170415	False
dropped1041	0	4.4938035614	0.0000086938	0.9994257353	False
dropped1042	0	4.4780377007	0.0000086329	0.9994343682	False
dropped1043	0	4.4632571441	0.0000085760	0.9994429442	False
dropped1044	0	4.4408178428	0.0000084900	0.9994514341	False
dropped1045	0	4.4352165720	0.0000084686	0.9994599027	False
dropped1046	0	4.4150332940	0.0000083917	0.9994682944	False
dropped1047	0	4.4031247392	0.0000083465	0.9994766409	False
dropped1048	0	4.3911751056	0.0000083012	0.9994849421	False
dropped1049	0	4.3825431801	0.0000082686	0.9994932107	False
dropped1050	0	4.3646031557	0.0000082011	0.9995014118	False
dropped1051	0	4.3440544229	0.0000081240	0.9995095358	False
dropped1052	0	4.3307012627	0.0000080742	0.9995176100	False
dropped1053	0	4.3007890475	0.0000079630	0.9995255730	False
dropped1054	0	4.2875142493	0.0000079139	0.9995334869	False
dropped1055	0	4.2481714080	0.0000077694	0.9995412563	False
dropped1056	0	4.2442160152	0.0000077549	0.9995490112	False
dropped1057	0	4.2335023039	0.0000077158	0.9995567270	False
dropped1058	0	4.2096684041	0.0000076292	0.9995643562	False
dropped1059	0	4.1890155037	0.0000075545	0.9995719106	False
dropped1060	0	4.1766300380	0.0000075099	0.9995794205	False
dropped1061	0	4.1582750688	0.0000074440	0.9995868646	False
dropped1062	0	4.1402316616	0.0000073796	0.9995942441	False
dropped1063	0	4.1154239148	0.0000072914	0.9996015355	False
dropped1064	0	4.1038837051	0.0000072506	0.9996087861	False
dropped1065	0	4.0842387044	0.0000071813	0.9996159674	False
dropped1066	0	4.0715753710	0.0000071368	0.9996231042	False
dropped1067	0	4.0515772186	0.0000070669	0.9996301711	False
dropped1068	0	4.0271296648	0.0000069819	0.9996371530	False
dropped1069	0	4.0006189929	0.0000068903	0.9996440432	False
dropped1070	0	3.9920659278	0.0000068608	0.9996509041	False
dropped1071	0	3.9692346189	0.0000067826	0.9996576866	False
dropped1072	0	3.9430639643	0.0000066934	0.9996643801	False
dropped1073	0	3.9255865465	0.0000066342	0.9996710143	False
dropped1074	0	3.9083568066	0.0000065761	0.9996775904	False
dropped1075	0	3.8758314442	0.0000064671	0.9996840575	False
dropped1076	0	3.8747633035	0.0000064636	0.9996905211	False
